sym,time,open,high,low,close,volume
BTCUSD,2018-10-12D00:00:00.000000000,6524.56,6524.56,6033.34,6154.69,20695.09
BTCUSD,2018-10-13D00:00:00.000000000,6154.68,6235.2,6111.97,6188.01,5574.465
BTCUSD,2018-10-14D00:00:00.000000000,6188.01,6212,6178,6196,3842.842
BTCUSD,2018-10-15D00:00:00.000000000,6196.01,6288.45,6151,6183.49,3763.087
BTCUSD,2018-10-16D00:00:00.000000000,6183.52,6810,6151.58,6440.42,21177.88
BTCUSD,2018-10-17D00:00:00.000000000,6440.43,6493.11,6375,6457.1,10081.07
BTCUSD,2018-10-18D00:00:00.000000000,6457.11,6459.99,6411.19,6443.7,5505.887
BTCUSD,2018-10-19D00:00:00.000000000,6443.69,6489.83,6355,6394.96,7212.33
BTCUSD,2018-10-20D00:00:00.000000000,6394.96,6409.61,6353.86,6382.99,3816.648
BTCUSD,2018-10-21D00:00:00.000000000,6382.99,6420,6369,6413.55,3430.489
BTCUSD,2018-10-22D00:00:00.000000000,6413.55,6452.87,6405.57,6415.87,2607.194
BTCUSD,2018-10-23D00:00:00.000000000,6415.87,6427.63,6377.77,6407.65,4004.851
BTCUSD,2018-10-24D00:00:00.000000000,6407.64,6411.5,6360,6395.13,4038.251
BTCUSD,2018-10-25D00:00:00.000000000,6395.14,6471,6395.13,6415.97,5192.065
BTCUSD,2018-10-26D00:00:00.000000000,6415.98,6422,6377.5,6395.58,3746.959
BTCUSD,2018-10-27D00:00:00.000000000,6395.58,6450,6383.54,6404.87,4134.775
BTCUSD,2018-10-28D00:00:00.000000000,6404.87,6421.76,6390,6409.12,2332.758
BTCUSD,2018-10-29D00:00:00.000000000,6409.11,6415,6380.01,6403.63,2142.033
BTCUSD,2018-10-30D00:00:00.000000000,6403.63,6414.99,6211,6266,6987.223
BTCUSD,2018-10-31D00:00:00.000000000,6266,6289,6240.54,6267.63,4099.554
BTCUSD,2018-11-01D00:00:00.000000000,6267.63,6353.24,6201.67,6304.18,5228.517
BTCUSD,2018-11-02D00:00:00.000000000,6304.18,6360,6293.44,6344,4490.978
BTCUSD,2018-11-03D00:00:00.000000000,6344,6378.77,6333.94,6349.8,4182.517
BTCUSD,2018-11-04D00:00:00.000000000,6349.8,6351.7,6315.91,6331.96,2572.877
BTCUSD,2018-11-05D00:00:00.000000000,6331.96,6464.15,6313.17,6423.28,4055.769
BTCUSD,2018-11-06D00:00:00.000000000,6423.29,6439.99,6372,6404,4095.539
BTCUSD,2018-11-07D00:00:00.000000000,6404,6449.65,6387.82,6448.5,5512.533
BTCUSD,2018-11-08D00:00:00.000000000,6448.5,6540,6448.5,6503.12,5832.787
BTCUSD,2018-11-09D00:00:00.000000000,6502.61,6511.88,6388,6406.24,5335.352
BTCUSD,2018-11-10D00:00:00.000000000,6406.24,6415,6305,6334.89,4588.216
BTCUSD,2018-11-11D00:00:00.000000000,6334.89,6374,6327.46,6347.42,2421.624
BTCUSD,2018-11-12D00:00:00.000000000,6347.42,6360,6271.15,6357.6,2363.529
BTCUSD,2018-11-13D00:00:00.000000000,6357.6,6383.59,6305.95,6327.87,3731.049
BTCUSD,2018-11-14D00:00:00.000000000,6327.87,6328.22,6252.5,6259.34,4687.212
BTCUSD,2018-11-15D00:00:00.000000000,6259.35,6293.38,5280.93,5605.01,32734.25
BTCUSD,2018-11-16D00:00:00.000000000,5605,5645,5188,5579.52,21893.73
BTCUSD,2018-11-17D00:00:00.000000000,5579.5,5609.91,5410,5512.24,9359.713
BTCUSD,2018-11-18D00:00:00.000000000,5512.26,5544,5450.83,5504.17,4783.534
BTCUSD,2018-11-19D00:00:00.000000000,5503.34,5665,5503.34,5560,4724.304
BTCUSD,2018-11-20D00:00:00.000000000,5560,5560,4670.05,4736.66,41591.94
BTCUSD,2018-11-21D00:00:00.000000000,4736.66,4889,4035,4349.24,66596.84
BTCUSD,2018-11-22D00:00:00.000000000,4349.23,4627.55,4239.01,4545.12,28517.89
BTCUSD,2018-11-23D00:00:00.000000000,4545.12,4589,4238.69,4268.18,13036.73
BTCUSD,2018-11-24D00:00:00.000000000,4268.18,4366.05,4085.73,4283.8,19589.92
BTCUSD,2018-11-25D00:00:00.000000000,4283.8,4370.78,3650.84,3775,22954.81
BTCUSD,2018-11-26D00:00:00.000000000,3774.99,4120,3456.78,3936.7,39067.05
BTCUSD,2018-11-27D00:00:00.000000000,3936.7,4076.25,3508,3731.01,36454.35
BTCUSD,2018-11-28D00:00:00.000000000,3731.01,3830,3562.9,3775.01,23788.56
BTCUSD,2018-11-29D00:00:00.000000000,3775.01,4365,3775,4225.03,35951.13
BTCUSD,2018-11-30D00:00:00.000000000,4224.86,4414.89,4077.88,4247.99,20568.17
BTCUSD,2018-12-01D00:00:00.000000000,4247.37,4297.71,3869,3976.01,20009.8
BTCUSD,2018-12-02D00:00:00.000000000,3976.01,4277,3910.08,4142.01,10546.5
BTCUSD,2018-12-03D00:00:00.000000000,4142.01,4266,4036,4102.8,11311.36
BTCUSD,2018-12-04D00:00:00.000000000,4100.03,4119.98,3741.95,3833.47,17040.9
BTCUSD,2018-12-05D00:00:00.000000000,3833.47,4035.1,3732.43,3901.84,16954.6
BTCUSD,2018-12-06D00:00:00.000000000,3901.84,3912.53,3660,3694.39,14947.06
BTCUSD,2018-12-07D00:00:00.000000000,3694.39,3849,3400,3433.26,28939.37
BTCUSD,2018-12-08D00:00:00.000000000,3433.3,3550,3212,3380,37834.52
BTCUSD,2018-12-09D00:00:00.000000000,3379.99,3495,3253.66,3401,13699.48
BTCUSD,2018-12-10D00:00:00.000000000,3401,3642.51,3367.79,3531.18,11758.06
BTCUSD,2018-12-11D00:00:00.000000000,3531.18,3590.71,3354.97,3410.15,13513.34
BTCUSD,2018-12-12D00:00:00.000000000,3410.15,3424.92,3293.49,3349.36,11087.33
BTCUSD,2018-12-13D00:00:00.000000000,3350.27,3486.16,3325.58,3430.24,10513
BTCUSD,2018-12-14D00:00:00.000000000,3430.24,3439.63,3227.96,3265,14257.15
BTCUSD,2018-12-15D00:00:00.000000000,3265,3294.9,3135,3195.71,14651.93
BTCUSD,2018-12-16D00:00:00.000000000,3195.71,3228.69,3128.89,3183,9336.683
BTCUSD,2018-12-17D00:00:00.000000000,3183.01,3258,3181.24,3195,7208.839
BTCUSD,2018-12-18D00:00:00.000000000,3195,3585.95,3184.28,3496.82,21832.8
BTCUSD,2018-12-19D00:00:00.000000000,3497.1,3688,3436.5,3667.76,16969.21
BTCUSD,2018-12-20D00:00:00.000000000,3667.77,3928.15,3637.17,3682.51,28433.3
BTCUSD,2018-12-21D00:00:00.000000000,3682.51,4175,3661.5,4075.34,30665.48
BTCUSD,2018-12-22D00:00:00.000000000,4075.33,4162.27,3775,3839.06,23240.08
BTCUSD,2018-12-23D00:00:00.000000000,3839.26,4005,3790.16,3981.24,9902.771
BTCUSD,2018-12-24D00:00:00.000000000,3979.39,4050,3903.6,3944.92,10282.46
BTCUSD,2018-12-25D00:00:00.000000000,3944.93,4239.37,3944.92,4034,19713.63
BTCUSD,2018-12-26D00:00:00.000000000,4034,4045.41,3675.86,3780,13871.76
BTCUSD,2018-12-27D00:00:00.000000000,3780,3849.2,3685.02,3809.88,9409.815
BTCUSD,2018-12-28D00:00:00.000000000,3809.88,3841.21,3567,3589.89,13427.89
BTCUSD,2018-12-29D00:00:00.000000000,3589.89,3971.58,3576.12,3888.06,16765.49
BTCUSD,2018-12-30D00:00:00.000000000,3887.58,3944.33,3706,3729.31,9779.202
BTCUSD,2018-12-31D00:00:00.000000000,3729.31,3863.06,3691.01,3829,8722.794
BTCUSD,2019-01-01D00:00:00.000000000,3829,3835.4,3625,3691.86,12798.71
BTCUSD,2019-01-02D00:00:00.000000000,3691.87,3841.17,3651.02,3826.1,10810.76
BTCUSD,2019-01-03D00:00:00.000000000,3826.1,3916.57,3770.07,3890.79,9975.036
BTCUSD,2019-01-04D00:00:00.000000000,3890.8,3893.8,3758.07,3787.57,9327.623
BTCUSD,2019-01-05D00:00:00.000000000,3787.58,3849,3730,3820.82,9225.149
BTCUSD,2019-01-06D00:00:00.000000000,3820.82,3874.12,3775,3799.99,6451.009
BTCUSD,2019-01-07D00:00:00.000000000,3799.99,4088,3756.01,4040.99,10057.45
BTCUSD,2019-01-08D00:00:00.000000000,4040.98,4070,3968.79,4006.01,9972.088
BTCUSD,2019-01-09D00:00:00.000000000,4005.97,4114.8,3943.36,3993.86,13959.11
BTCUSD,2019-01-10D00:00:00.000000000,3993.85,4042.2,3962.12,4004.12,10704.13
BTCUSD,2019-01-11D00:00:00.000000000,4004.13,4035.21,3560,3626.12,21861.6
BTCUSD,2019-01-12D00:00:00.000000000,3626.12,3699.99,3576,3635.69,14488.66
