sym,time,open,high,low,close,volume
BTCUSD,2016-06-23D00:00:00.000000000,698.76,785.15,568.11,604.82,95586.98
BTCUSD,2016-06-30D00:00:00.000000000,601.52,700,544.13,639.42,71330.63
BTCUSD,2016-07-07D00:00:00.000000000,639.41,705.25,635.14,678.79,41116.84
BTCUSD,2016-07-14D00:00:00.000000000,678.79,683.44,608,655.34,71830.28
BTCUSD,2016-07-21D00:00:00.000000000,655.3,684.94,640,666.92,27771.52
BTCUSD,2016-07-28D00:00:00.000000000,667.15,669.94,645,657.35,34053.68
BTCUSD,2016-08-04D00:00:00.000000000,657,659.97,483,573.36,59212.36
BTCUSD,2016-08-11D00:00:00.000000000,573.35,601.09,562.11,594.94,40078.75
BTCUSD,2016-08-18D00:00:00.000000000,594.94,599.99,561.56,574.45,29152.15
BTCUSD,2016-08-25D00:00:00.000000000,574.45,586.99,572.38,578.47,26865.32
BTCUSD,2016-09-01D00:00:00.000000000,578.68,579.86,568.95,572.89,26224.15
BTCUSD,2016-09-08D00:00:00.000000000,572.89,618.53,568.12,615.21,31144.47
BTCUSD,2016-09-15D00:00:00.000000000,615.22,631.3,591.8,608.43,28339.2
BTCUSD,2016-09-22D00:00:00.000000000,608.47,612.46,592.63,597,26766.86
BTCUSD,2016-09-29D00:00:00.000000000,597,607.99,594.78,605.04,25317.73
BTCUSD,2016-10-06D00:00:00.000000000,604.96,617.19,603.56,613.16,29050.06
BTCUSD,2016-10-13D00:00:00.000000000,613.16,647.03,609.89,635.79,28650.91
BTCUSD,2016-10-20D00:00:00.000000000,635.9,643.91,624.08,629.79,23959.54
BTCUSD,2016-10-27D00:00:00.000000000,627.5,678,626.55,674,26816.35
BTCUSD,2016-11-03D00:00:00.000000000,674,744.6,673.54,744.6,37936.45
BTCUSD,2016-11-10D00:00:00.000000000,744.61,747.26,675,720.97,37788.25
BTCUSD,2016-11-17D00:00:00.000000000,721,743.8,673.85,739.85,30333.5
BTCUSD,2016-11-24D00:00:00.000000000,738.07,753.81,715,741.52,26766.73
BTCUSD,2016-12-01D00:00:00.000000000,741.51,745,726,742.44,23733.96
BTCUSD,2016-12-08D00:00:00.000000000,742.44,779,741.59,764.34,30096.03
BTCUSD,2016-12-15D00:00:00.000000000,764.34,790.34,761.71,777.66,29792.29
BTCUSD,2016-12-22D00:00:00.000000000,777.66,834.5,774.8,834.5,38846.12
BTCUSD,2016-12-29D00:00:00.000000000,834.15,983.46,832.38,982.17,40897.07
BTCUSD,2017-01-05D00:00:00.000000000,982.25,1147,930.3,1130.3,58210.24
BTCUSD,2017-01-12D00:00:00.000000000,1131.1,1175,765,795.77,83038.34
BTCUSD,2017-01-19D00:00:00.000000000,795.8,916.7,734.64,887.99,49494.84
BTCUSD,2017-01-26D00:00:00.000000000,887.98,946.25,880,896,33939.86
BTCUSD,2017-02-02D00:00:00.000000000,896.75,927.47,896,923.66,17561.45
BTCUSD,2017-02-09D00:00:00.000000000,992.75,1069.95,978.74,1056.7,38959.84
BTCUSD,2017-02-16D00:00:00.000000000,1057.22,1079,925,1014.53,45334
BTCUSD,2017-02-23D00:00:00.000000000,1014.58,1140,1013.02,1128.71,37426.9
BTCUSD,2017-03-02D00:00:00.000000000,1129.87,1230,1085.71,1230,51979.19
BTCUSD,2017-03-09D00:00:00.000000000,1230,1298.61,1050,1150.22,56171.95
BTCUSD,2017-03-16D00:00:00.000000000,1150.22,1360,956.85,1263,75563.88
BTCUSD,2017-03-23D00:00:00.000000000,1263.55,1277.27,919.44,1034.57,111359.8
BTCUSD,2017-03-30D00:00:00.000000000,1038.94,1069.39,890.05,1043.27,81313.09
BTCUSD,2017-04-06D00:00:00.000000000,1043.09,1168.72,1022,1132.99,64681.52
BTCUSD,2017-04-13D00:00:00.000000000,1132.99,1234,1132.98,1214.17,46364.7
BTCUSD,2017-04-20D00:00:00.000000000,1214.68,1219.49,0.06,1214.21,41240.55
BTCUSD,2017-04-27D00:00:00.000000000,1214.22,1320,1212.01,1298.44,49463.49
BTCUSD,2017-05-04D00:00:00.000000000,1297.56,1533,1295.39,1533,99304.9
BTCUSD,2017-05-11D00:00:00.000000000,1533,1799.99,1482.06,1794.99,113935.4
BTCUSD,2017-05-18D00:00:00.000000000,1794.95,1889,1610,1813.23,86890.07
BTCUSD,2017-05-25D00:00:00.000000000,1813.23,2474.69,1800,2432.97,133029.8
BTCUSD,2017-06-01D00:00:00.000000000,2432.96,2806,1913.19,2303.29,179226.9
BTCUSD,2017-06-08D00:00:00.000000000,2303.61,2938.55,2302,2685.64,123155.1
BTCUSD,2017-06-15D00:00:00.000000000,2690.02,2999.99,2330,2432.21,143932.3
BTCUSD,2017-06-22D00:00:00.000000000,2432.21,2781.59,2050,2643.35,145221.8
BTCUSD,2017-06-29D00:00:00.000000000,2643.33,2743,2258.34,2553.12,106546.8
BTCUSD,2017-07-06D00:00:00.000000000,2553.13,2636.1,2385,2616.96,69311.34
BTCUSD,2017-07-13D00:00:00.000000000,2616.96,2623.54,2250,2383.42,78351.78
BTCUSD,2017-07-20D00:00:00.000000000,2384.35,2416.79,1758.2,2258.99,124827.2
BTCUSD,2017-07-27D00:00:00.000000000,2258.99,2957,2258.99,2525.99,122338.1
BTCUSD,2017-08-03D00:00:00.000000000,2525.98,2925,2500,2699.9,75228.34
BTCUSD,2017-08-10D00:00:00.000000000,2699.9,3489,2699.89,3342.8,85857.35
BTCUSD,2017-08-17D00:00:00.000000000,3342.8,4434.42,3317,4370.01,137171
BTCUSD,2017-08-24D00:00:00.000000000,4370.01,4469,3583.46,4142.5,105737.7
BTCUSD,2017-08-31D00:00:00.000000000,4142.5,4656.83,4112.76,4581.98,69716.04
BTCUSD,2017-09-07D00:00:00.000000000,4581.98,4980,4234.16,4616.18,115504.4
BTCUSD,2017-09-14D00:00:00.000000000,4616.18,4679.99,3726,3855.32,92806.37
BTCUSD,2017-09-21D00:00:00.000000000,3855.61,4130,2975.01,3867.04,162263.9
BTCUSD,2017-09-28D00:00:00.000000000,3872.06,4228.39,3509.79,4200,66545.71
BTCUSD,2017-10-05D00:00:00.000000000,4200,4470,4015.17,4214.84,55619.53
BTCUSD,2017-10-12D00:00:00.000000000,4214.84,4925.65,4150.01,4814.99,59338.8
BTCUSD,2017-10-19D00:00:00.000000000,4814.99,5867,4809.59,5574.02,102996.7
BTCUSD,2017-10-26D00:00:00.000000000,5574.02,6189.1,5376.71,5739.97,99806.49
BTCUSD,2017-11-02D00:00:00.000000000,5739.97,6784,5701,6783.69,82249.46
BTCUSD,2017-11-09D00:00:00.000000000,6783.69,7898,6759,7467.96,165607.6
BTCUSD,2017-11-16D00:00:00.000000000,7467.97,7470.01,5511.11,7294,214731.4
BTCUSD,2017-11-23D00:00:00.000000000,7294,8375,7130,8250,144270.3
BTCUSD,2017-11-30D00:00:00.000000000,8250,11485,7900,9920.81,185460.8
BTCUSD,2017-12-07D00:00:00.000000000,9919.93,14425,9135.6,14090,216195.4
BTCUSD,2017-12-14D00:00:00.000000000,14090,19697,13500,16679.99,354716.1
