sym,time,open,high,low,close,volume
BTCUSD,2019-12-12D06:15:00.000000000,7150.99,7156.44,7143.46,7144.28,27.97453
BTCUSD,2019-12-12D06:30:00.000000000,7144.28,7150.27,7139.4,7146.56,39.92859
BTCUSD,2019-12-12D06:45:00.000000000,7146.66,7153.11,7145.75,7145.76,26.46706
BTCUSD,2019-12-12D07:00:00.000000000,7145.76,7159.86,7145.75,7159.86,102.2655
BTCUSD,2019-12-12D07:15:00.000000000,7159.85,7159.86,7146.97,7151.28,37.69018
BTCUSD,2019-12-12D07:30:00.000000000,7151.27,7151.28,7142.22,7144.71,22.08901
BTCUSD,2019-12-12D07:45:00.000000000,7144.7,7148.34,7144.7,7146.27,39.28545
BTCUSD,2019-12-12D08:00:00.000000000,7146.27,7146.28,7135.05,7136.01,12.05879
BTCUSD,2019-12-12D08:15:00.000000000,7136,7137,7114.76,7118,41.01916
BTCUSD,2019-12-12D08:30:00.000000000,7118,7118,7102.63,7110,52.37012
BTCUSD,2019-12-12D08:45:00.000000000,7110,7121.33,7109.99,7115,62.30197
BTCUSD,2019-12-12D09:00:00.000000000,7115,7125.56,7113.34,7122.26,72.35162
BTCUSD,2019-12-12D09:15:00.000000000,7122.25,7124.73,7122.25,7124.72,8.99904
BTCUSD,2019-12-12D09:30:00.000000000,7124.71,7130.03,7124.71,7127.82,36.35951
BTCUSD,2019-12-12D09:45:00.000000000,7127.82,7155.42,7127.81,7139.04,23.27684
BTCUSD,2019-12-12D10:00:00.000000000,7139.03,7160,7139.03,7152.3,56.86892
BTCUSD,2019-12-12D10:15:00.000000000,7152.31,7211.87,7124.78,7129.33,320.3464
BTCUSD,2019-12-12D10:30:00.000000000,7129.32,7144.86,7129.32,7142.16,21.94197
BTCUSD,2019-12-12D10:45:00.000000000,7142.16,7153.36,7139.85,7147.49,25.97492
BTCUSD,2019-12-12D11:00:00.000000000,7147.49,7154.59,7147.48,7152.41,37.03637
BTCUSD,2019-12-12D11:15:00.000000000,7151.09,7185.96,7151.09,7181.9,26.82003
BTCUSD,2019-12-12D11:30:00.000000000,7181.39,7196.88,7171.78,7182.58,30.59185
BTCUSD,2019-12-12D11:45:00.000000000,7183.13,7186.36,7171.09,7178.83,15.78526
BTCUSD,2019-12-12D12:00:00.000000000,7178.18,7184.72,7169.1,7184.72,19.83543
BTCUSD,2019-12-12D12:15:00.000000000,7184.72,7205.81,7184.72,7195.2,49.74814
BTCUSD,2019-12-12D12:30:00.000000000,7195.2,7203,7189,7189.66,14.97566
BTCUSD,2019-12-12D12:45:00.000000000,7189.39,7199.18,7172.37,7181.69,40.07464
BTCUSD,2019-12-12D13:00:00.000000000,7181.68,7186.52,7172.52,7184.72,32.84817
BTCUSD,2019-12-12D13:15:00.000000000,7184.72,7195,7182.45,7183.18,50.10776
BTCUSD,2019-12-12D13:30:00.000000000,7183.49,7184.92,7177,7182.99,25.84582
BTCUSD,2019-12-12D13:45:00.000000000,7182.99,7184.44,7163.74,7174.32,34.92461
BTCUSD,2019-12-12D14:00:00.000000000,7174.32,7179.4,7174.05,7179.39,11.71884
BTCUSD,2019-12-12D14:15:00.000000000,7179.39,7216.95,7179.39,7204.39,174.4917
BTCUSD,2019-12-12D14:30:00.000000000,7204.39,7209.49,7167.94,7167.94,85.11857
BTCUSD,2019-12-12D14:45:00.000000000,7164.05,7174.65,7141.78,7142.98,127.689
BTCUSD,2019-12-12D15:00:00.000000000,7143.14,7163.41,7130.01,7158.57,109.6457
BTCUSD,2019-12-12D15:15:00.000000000,7158.55,7159.02,7140,7146.89,125.9765
BTCUSD,2019-12-12D15:30:00.000000000,7147.52,7166.44,7140,7161.9,40.32841
BTCUSD,2019-12-12D15:45:00.000000000,7162.81,7169.39,7150.89,7168.97,47.32916
BTCUSD,2019-12-12D16:00:00.000000000,7168.96,7181.17,7166.32,7180.58,39.26394
BTCUSD,2019-12-12D16:15:00.000000000,7180.58,7198.94,7172.88,7194.44,141.4763
BTCUSD,2019-12-12D16:30:00.000000000,7195.45,7196.74,7183.64,7183.65,83.95782
BTCUSD,2019-12-12D16:45:00.000000000,7183.66,7207.34,7183.65,7200.78,102.7677
BTCUSD,2019-12-12D17:00:00.000000000,7200.78,7201,7182.52,7194.4,116.8736
BTCUSD,2019-12-12D17:15:00.000000000,7194.4,7195.54,7188.4,7193.01,43.81752
BTCUSD,2019-12-12D17:30:00.000000000,7193.01,7195.5,7183.17,7195.5,81.27141
BTCUSD,2019-12-12D17:45:00.000000000,7195.5,7205.61,7192.35,7197.77,61.38648
BTCUSD,2019-12-12D18:00:00.000000000,7197.76,7205.95,7190,7191.82,60.51001
BTCUSD,2019-12-12D18:15:00.000000000,7191.83,7192.73,7182.72,7192.72,61.66041
BTCUSD,2019-12-12D18:30:00.000000000,7192.73,7217.74,7192.72,7217.74,120.8564
BTCUSD,2019-12-12D18:45:00.000000000,7217.74,7220,7188.03,7188.04,113.044
BTCUSD,2019-12-12D19:00:00.000000000,7188.03,7212.1,7182.29,7206.73,237.6419
BTCUSD,2019-12-12D19:15:00.000000000,7206.74,7215.72,7186.58,7196.49,122.4203
BTCUSD,2019-12-12D19:30:00.000000000,7194.79,7200,7192.42,7200,64.89412
BTCUSD,2019-12-12D19:45:00.000000000,7200,7200,7193.92,7193.92,35.84755
BTCUSD,2019-12-12D20:00:00.000000000,7193.93,7200,7191.32,7199.14,39.99424
BTCUSD,2019-12-12D20:15:00.000000000,7199.13,7200,7196,7199.65,53.10001
BTCUSD,2019-12-12D20:30:00.000000000,7199.51,7208,7196.81,7205.22,192.9825
BTCUSD,2019-12-12D20:45:00.000000000,7205.22,7233.3,7203.09,7230.21,383.4758
BTCUSD,2019-12-12D21:00:00.000000000,7229.64,7247.69,7222.21,7243.4,305.6843
BTCUSD,2019-12-12D21:15:00.000000000,7242.6,7249.99,7230.22,7240.91,80.37597
BTCUSD,2019-12-12D21:30:00.000000000,7240.91,7244.89,7217.22,7221.95,71.35029
BTCUSD,2019-12-12D21:45:00.000000000,7221.96,7226.3,7220.95,7223.64,39.7913
BTCUSD,2019-12-12D22:00:00.000000000,7223.62,7223.7,7190,7196.42,61.31077
BTCUSD,2019-12-12D22:15:00.000000000,7196.42,7200,7187.11,7190.6,45.45513
BTCUSD,2019-12-12D22:30:00.000000000,7190.6,7202.77,7190.59,7197.48,59.39905
BTCUSD,2019-12-12D22:45:00.000000000,7197.48,7198.26,7184.92,7190,67.0758
BTCUSD,2019-12-12D23:00:00.000000000,7189.99,7189.99,7180,7189,39.80692
BTCUSD,2019-12-12D23:15:00.000000000,7189,7195,7189,7194.99,98.01203
BTCUSD,2019-12-12D23:30:00.000000000,7195,7195,7194,7194.75,31.49159
BTCUSD,2019-12-12D23:45:00.000000000,7194.74,7195,7184.3,7194.62,38.14581
BTCUSD,2019-12-13D00:00:00.000000000,7194.61,7200,7184.7,7185.91,48.66187
BTCUSD,2019-12-13D00:15:00.000000000,7185.91,7203.22,7185.9,7200.13,52.04562
BTCUSD,2019-12-13D00:30:00.000000000,7200.12,7200.13,7194.32,7194.33,70.66158
BTCUSD,2019-12-13D00:45:00.000000000,7194.33,7195,7194.32,7195,42.40912
BTCUSD,2019-12-13D01:00:00.000000000,7195,7195,7190,7190.01,87.87106
BTCUSD,2019-12-13D01:15:00.000000000,7190,7190.01,7185,7188.83,35.76599
BTCUSD,2019-12-13D01:30:00.000000000,7188.83,7195,7183.29,7195,115.863
BTCUSD,2019-12-13D01:45:00.000000000,7194.99,7195.66,7186.71,7188.48,77.73378
BTCUSD,2019-12-13D02:00:00.000000000,7188.75,7194.09,7186.85,7192.48,34.76968
BTCUSD,2019-12-13D02:15:00.000000000,7192.48,7194.1,7188.12,7194.1,32.13946
